Jogador,Marc-André ter Stegen,Robert Lewandowski,Gavi,Alejandro Balde,Frenkie de Jong,Jules Koundé,Sergio Busquets,Raphinha,Pedri,Andreas Christensen,Ronald Araújo,Ousmane Dembélé,Eric García,Sergi Roberto,Jordi Alba,Ferrán Torres,Ansu Fati,Marcos Alonso,Franck Kessié,Gerard Piqué,Memphis,Pablo Torre,Héctor Bellerín,Iñaki Peña,Ángel Alarcón,Pierre-Emerick Aubameyang,Lamine Yamal,Aleix Garrido,Chadi Riad,Arnau Tenas,Ander Astralaga
Marc-André ter Stegen,1.0000000000000002,0.5705915613283762,0.6601101052859123,0.7356837762668342,0.6986226145626423,0.7749642672831081,0.7025211457635132,0.6085147212304494,0.6657703811608757,0.8013102419028546,0.7798487932404503,0.5900415822372489,0.8028619934899358,0.7150681664460786,0.7276475379092519,0.629301987141217,0.6273386854035504,0.800789465446023,0.7115456839956941,0.7567876880834425,0.605792009134689,0.6717743281002041,0.7031270162747733,0.9990998818625418,0.6445274597779023,0.7084692447303365,0.5281153373071089,0.7496098347155926,0.9055786709430101,0.7589709620309201,0.8501233222248877
Robert Lewandowski,0.5705915613283762,0.9999999999999998,0.9569566952045663,0.9366959917268166,0.905613513216974,0.8730974978532198,0.8818922077810883,0.9928189174363544,0.9389140564973657,0.8136859798538315,0.8296946589179106,0.990768150397221,0.8245123597795776,0.9234626916152487,0.9301536515114338,0.9940396799074114,0.9944443932086968,0.8373025999103285,0.9094202489913347,0.8192839297348311,0.9934792182798631,0.9702071422225889,0.9514819965953645,0.5762717553982342,0.9643825136320732,0.9111538069099384,0.9438207718209563,0.7217668114140895,0.6329074860534881,0.9182986574998501,0.8684107551136415
Gavi,0.6601101052859123,0.9569566952045663,1.0000000000000002,0.9910689744984235,0.9886926006125055,0.969706032965064,0.9795026376007795,0.9661190699234692,0.9979667950310365,0.9366637043113757,0.9478744961688996,0.9499585950799189,0.942203719043301,0.9928012114424904,0.991842782138085,0.9696110122945796,0.9700505620115674,0.9497620045338233,0.9882888272895285,0.944826459662502,0.9532829920739722,0.9923863126852704,0.995705699629103,0.6668012264428971,0.8946732742637798,0.9586567698848455,0.8572868891244538,0.6739844218883267,0.7332814075666664,0.9873396212657037,0.9460870483858054
Alejandro Balde,0.7356837762668342,0.9366959917268166,0.9910689744984235,1.0,0.9895824615094494,0.9857857733602562,0.9804872907352683,0.9537925118125159,0.9915619620188155,0.9610393541451892,0.9652319594726053,0.9383138939513436,0.9662336275130324,0.9966987328084227,0.9987040595645875,0.9606208644874457,0.961639856589165,0.9711739767410833,0.9877705621893909,0.9573900869977437,0.9444555669438888,0.9877092242232118,0.9974485901448487,0.742540481567052,0.8932779830468047,0.965048712764988,0.8513940356632244,0.7272268276300113,0.8156701703270339,0.9971070583603271,0.9702777859991217
Frenkie de Jong,0.6986226145626423,0.905613513216974,0.9886926006125055,0.9895824615094494,0.9999999999999998,0.9911769681950336,0.9978216198814769,0.9212324231088695,0.9956284615395005,0.9739184239427752,0.9810306493658485,0.8992900520454254,0.9762716026293171,0.9977331467312439,0.9935619044566419,0.9273636328089588,0.9294728821553396,0.9805803738403143,0.9969724439347583,0.9807497545420861,0.9053956433056518,0.970923591709111,0.9877678896895616,0.7059036346383666,0.831682796174627,0.9625202798435823,0.786336242865709,0.6396885673720683,0.7777446423210868,0.9935291396230537,0.9592899490391709
Jules Koundé,0.7749642672831081,0.8730974978532198,0.969706032965064,0.9857857733602562,0.9911769681950336,0.9999999999999997,0.9923539263480825,0.8934815601500433,0.9785486405654028,0.9932449241227133,0.9952095582537237,0.868947849431275,0.995262805715266,0.9901269200338646,0.9882866642685354,0.9036634287463514,0.9051043583143056,0.9971153142741911,0.991619802198879,0.9906966455950322,0.8781499441305587,0.9523925484748074,0.9772863032946277,0.7801402261774073,0.816769702449007,0.9599742301873545,0.7531732903118703,0.6891382507922912,0.8457468883171306,0.9941846039539691,0.9826726791310116
Sergio Busquets,0.7025211457635132,0.8818922077810883,0.9795026376007795,0.9804872907352683,0.9978216198814769,0.9923539263480825,0.9999999999999998,0.8974939782334128,0.9889118857049417,0.9809872487093529,0.988413479894218,0.8715376395075581,0.9823545160637387,0.9920193726661701,0.986014596780855,0.9045238441610721,0.9062966248829037,0.9857663247568087,0.9968221929913353,0.9898353107645466,0.8783096309450548,0.9555857450905955,0.9772976938087995,0.708673477840267,0.801504171579933,0.9566273264337155,0.7464460440826186,0.6212809288133323,0.7765029055500012,0.9888215834151385,0.9602237562249469
Raphinha,0.6085147212304494,0.9928189174363544,0.9661190699234692,0.9537925118125159,0.9212324231088695,0.8934815601500433,0.8974939782334128,1.0000000000000002,0.9509201451794038,0.8363392806977588,0.8491729765315251,0.9977732195209101,0.8475697970964894,0.9395410019594413,0.9491430320238269,0.9987755496239373,0.995734788936013,0.8592932730831336,0.9204535449952811,0.8372574263666887,0.9961993533958671,0.9858062597332502,0.9670589878253394,0.6143349485576716,0.9720682986349911,0.9078025795330933,0.9531420395151228,0.7314741260167095,0.6762606355362802,0.9353104745501681,0.888575097066566
Pedri,0.6657703811608757,0.9389140564973657,0.9979667950310365,0.9915619620188155,0.9956284615395005,0.9785486405654028,0.9889118857049417,0.9509201451794038,1.0,0.9508106014302588,0.9609020291128512,0.9326950499805636,0.9550345636086073,0.996691762257083,0.9943323219095367,0.9547772031797535,0.9559485239670585,0.9614824680911634,0.9930100346589025,0.9595877038295809,0.9366919010589788,0.9862798761165715,0.9945605329649181,0.6730058087034163,0.8690251606179805,0.960994221163979,0.8311498613139716,0.6507482269490708,0.7444837740725687,0.9904727265075886,0.9485125955836498
Andreas Christensen,0.8013102419028546,0.8136859798538315,0.9366637043113757,0.9610393541451892,0.9739184239427752,0.9932449241227133,0.9809872487093529,0.8363392806977588,0.9508106014302588,1.0,0.9983587089208629,0.8074540931421323,0.9996035215010858,0.9688577295701533,0.9643549928529983,0.8497274776354707,0.8526116922144046,0.998822463206423,0.9751099594538467,0.9952023073343369,0.8198111620311577,0.9113046510768942,0.9463262734167173,0.8062748352688407,0.7533417223533693,0.9429983540017766,0.6796468485504576,0.6647036109478975,0.867656584468225,0.9758915432992438,0.9758438913363048
Ronald Araújo,0.7798487932404503,0.8296946589179106,0.9478744961688996,0.9652319594726053,0.9810306493658485,0.9952095582537237,0.988413479894218,0.8491729765315251,0.9609020291128512,0.9983587089208629,0.9999999999999999,0.8193551519097118,0.9983944505220782,0.9747674893408503,0.9697220941885013,0.8613187810673877,0.8634465118247278,0.9987672535716661,0.9836975894449064,0.9982776896362037,0.8306080362448229,0.9209087152370432,0.9538699502580349,0.7840406787544874,0.7625235222295427,0.9479685279065343,0.6867920611246133,0.6537815133417748,0.842166853641807,0.9802713500573162,0.9764106918134415
Ousmane Dembélé,0.5900415822372489,0.990768150397221,0.9499585950799189,0.9383138939513436,0.8992900520454254,0.868947849431275,0.8715376395075581,0.9977732195209101,0.9326950499805636,0.8074540931421323,0.8193551519097118,1.0,0.8192910554326294,0.9208994424488333,0.9320523980241961,0.9958247670863282,0.9935404669686894,0.8315867129400867,0.8961350461865716,0.8059889603405097,0.9979828665214621,0.9754098073821278,0.9523843399614524,0.5971321575622703,0.9770688486851387,0.8904607151518188,0.9696833714881983,0.731262783854228,0.6614295019920798,0.9157009776278333,0.8641142342111299
Eric García,0.8028619934899358,0.8245123597795776,0.942203719043301,0.9662336275130324,0.9762716026293171,0.995262805715266,0.9823545160637387,0.8475697970964894,0.9550345636086073,0.9996035215010858,0.9983944505220782,0.8192910554326294,0.9999999999999998,0.97244734472148,0.9691706265931763,0.8604392963933131,0.8623975118705801,0.9995566991077405,0.9780477076626406,0.9941319312918414,0.8308931999706642,0.9193366862073519,0.952427673664682,0.8072994468005074,0.7685483811443233,0.9451934736642916,0.6942260753419058,0.6797988651143171,0.8699801137269934,0.9798818920936007,0.9804296927334922
Sergi Roberto,0.7150681664460786,0.9234626916152487,0.9928012114424904,0.9966987328084227,0.9977331467312439,0.9901269200338646,0.9920193726661701,0.9395410019594413,0.996691762257083,0.9688577295701533,0.9747674893408503,0.9208994424488333,0.97244734472148,0.9999999999999999,0.9982343940289141,0.9458122073079013,0.9478016886540098,0.9772874505000986,0.9947850043503709,0.9714506491696112,0.9268321582158605,0.9815739846802665,0.9946216265711112,0.7226759896982499,0.8623332549362097,0.9641276633448866,0.8213319340149018,0.6770177730064576,0.7923410929910684,0.9972810298819713,0.9646761602042481
Jordi Alba,0.7276475379092519,0.9301536515114338,0.991842782138085,0.9987040595645875,0.9935619044566419,0.9882866642685354,0.986014596780855,0.9491430320238269,0.9943323219095367,0.9643549928529983,0.9697220941885013,0.9320523980241961,0.9691706265931763,0.9982343940289141,1.0000000000000002,0.9547264594244804,0.9548622343544426,0.9742412344749121,0.9906781604788213,0.9635419854566162,0.9368801640672533,0.9867645296859239,0.9977759380784781,0.734093472306553,0.8813652197681214,0.9620932507418548,0.8375906975873585,0.7018556583290362,0.805871549969161,0.9976612691191158,0.9689221592966882
Ferrán Torres,0.629301987141217,0.9940396799074114,0.9696110122945796,0.9606208644874457,0.9273636328089588,0.9036634287463514,0.9045238441610721,0.9987755496239373,0.9547772031797535,0.8497274776354707,0.8613187810673877,0.9958247670863282,0.8604392963933131,0.9458122073079013,0.9547264594244804,0.9999999999999999,0.9985510951020281,0.8714471529184714,0.9281094613650532,0.8487125316915423,0.997082291740415,0.9866402772059812,0.971441827656528,0.6351476532980179,0.9718157636944985,0.9214765264119814,0.9490077610702154,0.7498913073100613,0.6982301518288418,0.9432856378653386,0.9008449421613173
Ansu Fati,0.6273386854035504,0.9944443932086968,0.9700505620115674,0.961639856589165,0.9294728821553396,0.9051043583143056,0.9062966248829037,0.995734788936013,0.9559485239670585,0.8526116922144046,0.8634465118247278,0.9935404669686894,0.8623975118705801,0.9478016886540098,0.9548622343544426,0.9985510951020281,1.0000000000000002,0.8731540949971793,0.9292644696793069,0.8517221845045423,0.9973204252611154,0.9840324563478894,0.9709288221419281,0.6347452099706569,0.964639547317394,0.929473814749579,0.9474204739689692,0.7446536986843484,0.6996112573161205,0.9441616479205559,0.8981265508145165
Marcos Alonso,0.800789465446023,0.8373025999103285,0.9497620045338233,0.9711739767410833,0.9805803738403143,0.9971153142741911,0.9857663247568087,0.8592932730831336,0.9614824680911634,0.998822463206423,0.9987672535716661,0.8315867129400867,0.9995566991077405,0.9772874505000986,0.9742412344749121,0.8714471529184714,0.8731540949971793,1.0000000000000002,0.98260085053092,0.9947541735540181,0.8425240644445636,0.9280345119994314,0.9589047681919546,0.8052520834379506,0.7814247735613329,0.9493254903741221,0.70764207383193,0.6796933551867721,0.8613869018701512,0.9843785203505494,0.9830978030873055
Franck Kessié,0.7115456839956941,0.9094202489913347,0.9882888272895285,0.9877705621893909,0.9969724439347583,0.991619802198879,0.9968221929913353,0.9204535449952811,0.9930100346589025,0.9751099594538467,0.9836975894449064,0.8961350461865716,0.9780477076626406,0.9947850043503709,0.9906781604788213,0.9281094613650532,0.9292644696793069,0.98260085053092,1.0000000000000002,0.9824001778400048,0.9035237686277237,0.9684063017015297,0.9858247671714113,0.7164594135092326,0.8383036910881326,0.9661509754460117,0.7782946762846615,0.6642332990920894,0.7774071490366526,0.9939797863511561,0.9697631029566204
Gerard Piqué,0.7567876880834425,0.8192839297348311,0.944826459662502,0.9573900869977437,0.9807497545420861,0.9906966455950322,0.9898353107645466,0.8372574263666887,0.9595877038295809,0.9952023073343369,0.9982776896362037,0.8059889603405097,0.9941319312918414,0.9714506491696112,0.9635419854566162,0.8487125316915423,0.8517221845045423,0.9947541735540181,0.9824001778400048,1.0,0.8168546708048884,0.9128946478131218,0.9467633097770208,0.761856426736282,0.7397965409145685,0.9419846635058615,0.6671676565742323,0.6120517871703071,0.815237287136998,0.9742218489635605,0.9646198750120663
Memphis,0.605792009134689,0.9934792182798631,0.9532829920739722,0.9444555669438888,0.9053956433056518,0.8781499441305587,0.8783096309450548,0.9961993533958671,0.9366919010589788,0.8198111620311577,0.8306080362448229,0.9979828665214621,0.8308931999706642,0.9268321582158605,0.9368801640672533,0.997082291740415,0.9973204252611154,0.8425240644445636,0.9035237686277237,0.8168546708048884,0.9999999999999999,0.9752359726085598,0.9561246619510312,0.6131919824580483,0.9749931707924933,0.9094132563994708,0.9641183925164925,0.7464559587650291,0.6802823297400195,0.9229166378905432,0.873940405923419
Pablo Torre,0.6717743281002041,0.9702071422225889,0.9923863126852704,0.9877092242232118,0.970923591709111,0.9523925484748074,0.9555857450905955,0.9858062597332502,0.9862798761165715,0.9113046510768942,0.9209087152370432,0.9754098073821278,0.9193366862073519,0.9815739846802665,0.9867645296859239,0.9866402772059812,0.9840324563478894,0.9280345119994314,0.9684063017015297,0.9128946478131218,0.9752359726085598,0.9999999999999997,0.9943872543889191,0.6781240107344053,0.9352392779046735,0.9419715292197657,0.9036992204139166,0.7114901219171527,0.7418707596734238,0.9782779395751818,0.9387539837593416
Héctor Bellerín,0.7031270162747733,0.9514819965953645,0.995705699629103,0.9974485901448487,0.9877678896895616,0.9772863032946277,0.9772976938087995,0.9670589878253394,0.9945605329649181,0.9463262734167173,0.9538699502580349,0.9523843399614524,0.952427673664682,0.9946216265711112,0.9977759380784781,0.971441827656528,0.9709288221419281,0.9589047681919546,0.9858247671714113,0.9467633097770208,0.9561246619510312,0.9943872543889191,0.9999999999999998,0.7091898220631218,0.9053081649419074,0.9606559635650997,0.8649871727578712,0.7104386337428499,0.7821513399095372,0.993073223603082,0.959992863558026
Iñaki Peña,0.9990998818625418,0.5762717553982342,0.6668012264428971,0.742540481567052,0.7059036346383666,0.7801402261774073,0.708673477840267,0.6143349485576716,0.6730058087034163,0.8062748352688407,0.7840406787544874,0.5971321575622703,0.8072994468005074,0.7226759896982499,0.734093472306553,0.6351476532980179,0.6347452099706569,0.8052520834379506,0.7164594135092326,0.761856426736282,0.6131919824580483,0.6781240107344053,0.7091898220631218,0.9999999999999998,0.646586646690094,0.714364296194651,0.5386313832855486,0.7429529257640984,0.9078660768656949,0.764746215920406,0.8504576651905222
Ángel Alarcón,0.6445274597779023,0.9643825136320732,0.8946732742637798,0.8932779830468047,0.831682796174627,0.816769702449007,0.801504171579933,0.9720682986349911,0.8690251606179805,0.7533417223533693,0.7625235222295427,0.9770688486851387,0.7685483811443233,0.8623332549362097,0.8813652197681214,0.9718157636944985,0.964639547317394,0.7814247735613329,0.8383036910881326,0.7397965409145685,0.9749931707924933,0.9352392779046735,0.9053081649419074,0.646586646690094,1.0,0.8422753512685723,0.9682928319329698,0.8170731707317074,0.6762522260005743,0.8699395032841767,0.8501506359200637
Pierre-Emerick Aubameyang,0.7084692447303365,0.9111538069099384,0.9586567698848455,0.965048712764988,0.9625202798435823,0.9599742301873545,0.9566273264337155,0.9078025795330933,0.960994221163979,0.9429983540017766,0.9479685279065343,0.8904607151518188,0.9451934736642916,0.9641276633448866,0.9620932507418548,0.9214765264119814,0.929473814749579,0.9493254903741221,0.9661509754460117,0.9419846635058615,0.9094132563994708,0.9419715292197657,0.9606559635650997,0.714364296194651,0.8422753512685723,1.0,0.7786804759219854,0.7044484756064422,0.7925939239012172,0.9672660744336359,0.9441060916404307
Lamine Yamal,0.5281153373071089,0.9438207718209563,0.8572868891244538,0.8513940356632244,0.786336242865709,0.7531732903118703,0.7464460440826186,0.9531420395151228,0.8311498613139716,0.6796468485504576,0.6867920611246133,0.9696833714881983,0.6942260753419058,0.8213319340149018,0.8375906975873585,0.9490077610702154,0.9474204739689692,0.70764207383193,0.7782946762846615,0.6671676565742323,0.9641183925164925,0.9036992204139166,0.8649871727578712,0.5386313832855486,0.9682928319329698,0.7786804759219854,0.9999999999999999,0.7345669759491494,0.5995437734798086,0.8150998603514589,0.7574775102455689
Aleix Garrido,0.7496098347155926,0.7217668114140895,0.6739844218883267,0.7272268276300113,0.6396885673720683,0.6891382507922912,0.6212809288133323,0.7314741260167095,0.6507482269490708,0.6647036109478975,0.6537815133417748,0.731262783854228,0.6797988651143171,0.6770177730064576,0.7018556583290362,0.7498913073100613,0.7446536986843484,0.6796933551867721,0.6642332990920894,0.6120517871703071,0.7464559587650291,0.7114901219171527,0.7104386337428499,0.7429529257640984,0.8170731707317074,0.7044484756064422,0.7345669759491494,1.0,0.8115026712006892,0.7114192334309527,0.774696729408314
Chadi Riad,0.9055786709430101,0.6329074860534881,0.7332814075666664,0.8156701703270339,0.7777446423210868,0.8457468883171306,0.7765029055500012,0.6762606355362802,0.7444837740725687,0.867656584468225,0.842166853641807,0.6614295019920798,0.8699801137269934,0.7923410929910684,0.805871549969161,0.6982301518288418,0.6996112573161205,0.8613869018701512,0.7774071490366526,0.815237287136998,0.6802823297400195,0.7418707596734238,0.7821513399095372,0.9078660768656949,0.6762522260005743,0.7925939239012172,0.5995437734798086,0.8115026712006892,1.0000000000000002,0.821658307382106,0.8756496128899347
Arnau Tenas,0.7589709620309201,0.9182986574998501,0.9873396212657037,0.9971070583603271,0.9935291396230537,0.9941846039539691,0.9888215834151385,0.9353104745501681,0.9904727265075886,0.9758915432992438,0.9802713500573162,0.9157009776278333,0.9798818920936007,0.9972810298819713,0.9976612691191158,0.9432856378653386,0.9441616479205559,0.9843785203505494,0.9939797863511561,0.9742218489635605,0.9229166378905432,0.9782779395751818,0.993073223603082,0.764746215920406,0.8699395032841767,0.9672660744336359,0.8150998603514589,0.7114192334309527,0.821658307382106,1.0,0.9809693152294479
Ander Astralaga,0.8501233222248877,0.8684107551136415,0.9460870483858054,0.9702777859991217,0.9592899490391709,0.9826726791310116,0.9602237562249469,0.888575097066566,0.9485125955836498,0.9758438913363048,0.9764106918134415,0.8641142342111299,0.9804296927334922,0.9646761602042481,0.9689221592966882,0.9008449421613173,0.8981265508145165,0.9830978030873055,0.9697631029566204,0.9646198750120663,0.873940405923419,0.9387539837593416,0.959992863558026,0.8504576651905222,0.8501506359200637,0.9441060916404307,0.7574775102455689,0.774696729408314,0.8756496128899347,0.9809693152294479,1.0
