Jogador,Édgar Badía,Gerard Gumbau,Carlos Clerc,Lucas Boyé,Omar Mascarell,Pedro Bigas,Tete Morente,Helibelton Palacios,Pere Milla,Fidel,Enzo Roco,John Donald,Raúl Guti,Lisandro Magallán,Randy Nteka,Josan,Lautaro Blanco,Gonzalo Verdú,Ezequiel Ponce,Diego González,Álex Collado,Roger Martí,Carmona,Pol Lirola,Nicolás Ezequiel Fernández,Johan Mojica,Domingos Quina,Axel Werner,Federico Fernández,Pape Cheikh Diop,Alejandro Alfaro,Javier Pastore,Manu Cocca,Jesús López
Édgar Badía,1.0000000000000002,0.6455987847065622,0.7435991961263517,0.542931974955059,0.715849303013427,0.8191223466952119,0.6312873407984634,0.7624746835986713,0.6178845289510765,0.6210719996009805,0.8235511123337946,0.7681211806633685,0.6547406011379059,0.8616565344458819,0.5913358932458942,0.7144723276903787,0.6745721052604502,0.8403027529525388,0.5711387608772802,0.8748853469968435,0.602337805415944,0.5897570153994239,0.728451494393893,0.7201928764424022,0.6391238562748074,0.7245266519276465,0.642780472370901,0.9953410678285969,0.9413442376127539,0.7155593067049634,0.44362918534935963,0.49817134824454984,0.7638978273610131,0.7134399854071108
Gerard Gumbau,0.6455987847065622,1.0,0.9862862673346449,0.9634246050724617,0.9841631258227859,0.9428279689604163,0.9643071217018637,0.9742376140799849,0.9924048211729104,0.9955572035923836,0.9367071263785435,0.9651979530211535,0.9984538266770545,0.9072713801495389,0.9674028632368695,0.9882931354829247,0.9635129389943816,0.9269494626815244,0.9823447639812642,0.8875434780211631,0.9832272073026553,0.9802207831258439,0.9717106197879353,0.9863963297692485,0.9787850022076306,0.9795753983727415,0.998297699772573,0.6972305230729924,0.6432763546222403,0.9733827482681344,0.9239656104418581,0.890108582553024,0.9834246662102998,0.993513590926302
Carlos Clerc,0.7435991961263517,0.9862862673346449,1.0000000000000002,0.9315376972738484,0.9893346564127227,0.9797037631717456,0.9564739088518879,0.9946236276959175,0.9755746241069642,0.9789687205098214,0.9764005246484232,0.9871700072057767,0.9897309644893717,0.9601338330329646,0.9471180186038066,0.9972076894826858,0.9691589577693948,0.9714620641951369,0.9533261150254522,0.9481159347151303,0.9634067758926754,0.9578037601333829,0.985362268401327,0.9961809767171765,0.9708873585260193,0.9916797543434134,0.985770105121607,0.791951017549377,0.750902040283386,0.9776656522435834,0.8781455681437706,0.8639286662221765,0.9988736469710912,0.9957229679070687
Lucas Boyé,0.542931974955059,0.9634246050724617,0.9315376972738484,1.0000000000000002,0.9156302843212206,0.8534552361529075,0.9717192801177448,0.9028512184601827,0.984682999075309,0.977026227229121,0.8444933778447705,0.8852970557906066,0.9617175518042789,0.8080677306125755,0.9965088753161554,0.9411378832580698,0.9456608904405737,0.8333775176566346,0.9949652704564015,0.7857205976954771,0.9823488549612763,0.9923874253729026,0.952754646105527,0.9438101396654408,0.972958750468874,0.9395033272229474,0.9697531885141945,0.5875817607004039,0.5578283056038273,0.8915293694170254,0.97795837808134,0.9382957979252861,0.9320830612094808,0.9528920425469579
Omar Mascarell,0.715849303013427,0.9841631258227859,0.9893346564127227,0.9156302843212206,0.9999999999999999,0.9804399376810131,0.9192905439980859,0.9935864211327589,0.9670413641087601,0.9657171553879289,0.976750242432746,0.9943511203393283,0.988520237783494,0.9539621679064635,0.9261417301569895,0.9824384702142616,0.9285337458166337,0.9694694540926765,0.9431471385910326,0.9388766395678279,0.9428231455621465,0.9364699363582026,0.9540832343669059,0.9765070571173934,0.9414519416658516,0.9655251283009619,0.9826509001481518,0.7653365126010238,0.7240399246705378,0.9944567599692832,0.8603046260011639,0.8132544466989818,0.9878619004346533,0.9852371483509067
Pedro Bigas,0.8191223466952119,0.9428279689604163,0.9797037631717456,0.8534552361529075,0.9804399376810131,1.0000000000000002,0.8842572386223742,0.9927795162283009,0.9222012141201598,0.9209734313081447,0.9997011754495565,0.9952926415972262,0.9518975946813386,0.9934855810827273,0.8779096803574857,0.9666445057549423,0.9105248664710366,0.9987018020467463,0.88450939269761,0.9879466976955382,0.8932760365720813,0.8847736524018156,0.9453850277529718,0.9624318544574482,0.9061908719455384,0.9534934055811689,0.9411322718779405,0.8627478714193313,0.8369908931365353,0.9765015385506752,0.7775361581465292,0.7572330765467669,0.9811848346162745,0.9621492274259335
Tete Morente,0.6312873407984634,0.9643071217018637,0.9564739088518879,0.9717192801177448,0.9192905439980859,0.8842572386223742,1.0000000000000002,0.9224366199160942,0.9714262348076144,0.9817745723320752,0.8785621688229845,0.9004986485367925,0.9616591514689817,0.8585770718518322,0.9771132129776324,0.9705245739566686,0.9897315053839816,0.8713826346590247,0.973623981940255,0.8410415174697199,0.9923645452851458,0.9903057006216412,0.9842065947042924,0.9760448028100521,0.9974254802049076,0.9808771320542684,0.9686291970579467,0.6788978246461869,0.6214497387225412,0.8899365239435049,0.9518015145800395,0.9681487012115155,0.9553092599070734,0.9714551827493072
Helibelton Palacios,0.7624746835986713,0.9742376140799849,0.9946236276959175,0.9028512184601827,0.9935864211327589,0.9927795162283009,0.9224366199160942,1.0000000000000002,0.9598266320623889,0.9588936620847132,0.9903493067370651,0.9976068374775203,0.980299695759801,0.9751638257173991,0.9216530922135949,0.9859253447405485,0.9423229851303464,0.9862699741324233,0.9297692697278646,0.9656621391159269,0.9341047098521745,0.9288480709097559,0.9671174142508092,0.9828075359224225,0.9422960629769421,0.9743385903670319,0.9725023428673873,0.8103319109022463,0.7829099986908371,0.9882154813829914,0.8375294142706621,0.8098431166821557,0.9937737001820752,0.9836132056641996
Pere Milla,0.6178845289510765,0.9924048211729104,0.9755746241069642,0.984682999075309,0.9670413641087601,0.9222012141201598,0.9714262348076144,0.9598266320623889,1.0000000000000002,0.9952804677103846,0.91491743600325,0.9467819505218181,0.9924284857748946,0.8825981968734578,0.9893455931357836,0.9779306956256124,0.9656011945199617,0.9054686943458136,0.9945856578080498,0.8640442994626554,0.9851385450889588,0.9907176206143945,0.9748208355956279,0.9782708832184476,0.9813525224683447,0.9718386444333619,0.9937216430507924,0.6670192358601074,0.636319195340323,0.9536452354826024,0.943807727003803,0.9072574051998561,0.9737945819075137,0.984461690131468
Fidel,0.6210719996009805,0.9955572035923836,0.9789687205098214,0.977026227229121,0.9657171553879289,0.9209734313081447,0.9817745723320752,0.9588936620847132,0.9952804677103846,1.0,0.9141705384781603,0.944107273800893,0.9928818847472056,0.8844962426449365,0.9807107124402753,0.9850713571021369,0.9783526033940015,0.9045969744835173,0.990538093572906,0.8648868549792795,0.9929436642018816,0.992839227571272,0.9784387810915752,0.9859389350679278,0.9905992846489888,0.9827306978271874,0.9950947675094147,0.6729155131222685,0.619982192730807,0.9509850408486993,0.9435726855400836,0.9244954812510622,0.9756554739487298,0.9894664337287807
Enzo Roco,0.8235511123337946,0.9367071263785435,0.9764005246484232,0.8444933778447705,0.976750242432746,0.9997011754495565,0.8785621688229845,0.9903493067370651,0.91491743600325,0.9141705384781603,0.9999999999999999,0.9934678147397319,0.9463979972219456,0.9955603967640759,0.8697558596966652,0.9634960321502414,0.9057855926520946,0.9993483767339009,0.8759733284592185,0.9906098365260377,0.88682702011027,0.877133151882724,0.9418360456281939,0.9590277681659277,0.9008259774136441,0.9500437892951472,0.9350989283525818,0.8674353087782707,0.8428226794311979,0.9721567489114787,0.7674602728709263,0.7500165470080503,0.9778789529977228,0.9577803733191071
John Donald,0.7681211806633685,0.9651979530211535,0.9871700072057767,0.8852970557906066,0.9943511203393283,0.9952926415972262,0.9004986485367925,0.9976068374775203,0.9467819505218181,0.944107273800893,0.9934678147397319,0.9999999999999998,0.972925081009273,0.9787267214641381,0.903250738137327,0.9764800517746517,0.9189420903330505,0.9893186601062866,0.914823810565626,0.9688832112801903,0.9174215193550628,0.9104935970068428,0.9509772038980675,0.9709629459229568,0.9233723522681379,0.960220360320373,0.9639419172217206,0.8153283107458648,0.7871935471264239,0.989921295506325,0.8180518405517975,0.7809458678193495,0.9870180331832996,0.9752013072608932
Raúl Guti,0.6547406011379059,0.9984538266770545,0.9897309644893717,0.9617175518042789,0.988520237783494,0.9518975946813386,0.9616591514689817,0.980299695759801,0.9924284857748946,0.9928818847472056,0.9463979972219456,0.972925081009273,1.0000000000000002,0.9181786748536882,0.9672950676169092,0.9907137975360856,0.961024617628679,0.9371955030297949,0.9801965764218351,0.8999569851181732,0.9796417957550952,0.977389083310571,0.9740015046707102,0.9878661458789288,0.9764736554955133,0.9806860967894839,0.9988757329071946,0.7068138678968698,0.6630285001214347,0.9760790098889713,0.9206109665468305,0.8841744300085932,0.986918260254001,0.9945967144995717
Lisandro Magallán,0.8616565344458819,0.9072713801495389,0.9601338330329646,0.8080677306125755,0.9539621679064635,0.9934855810827273,0.8585770718518322,0.9751638257173991,0.8825981968734578,0.8844962426449365,0.9955603967640759,0.9787267214641381,0.9181786748536882,1.0,0.8380029472219126,0.9468403953496909,0.8903073087648083,0.9976489439583982,0.8400486671695581,0.9983616349538219,0.8592930513088081,0.846579940396683,0.9291792518358779,0.9433666485808764,0.8793293614514526,0.9364123893558232,0.905867404120633,0.9024065857394112,0.8765059365039582,0.9474459965022417,0.7263570459832055,0.7273472022299983,0.9632961975777383,0.9379993480660371
Randy Nteka,0.5913358932458942,0.9674028632368695,0.9471180186038066,0.9965088753161554,0.9261417301569895,0.8779096803574857,0.9771132129776324,0.9216530922135949,0.9893455931357836,0.9807107124402753,0.8697558596966652,0.903250738137327,0.9672950676169092,0.8380029472219126,0.9999999999999999,0.9533314643625533,0.9601438422534073,0.8609676188023271,0.9935832914102674,0.8195037804122588,0.9817799140217419,0.9929595414137442,0.9689601108786784,0.9572380752558284,0.9786124320264804,0.9538698769809155,0.9727433672806576,0.6346638595486553,0.6130709527730152,0.9045661575827016,0.9624570341271576,0.9343493926153693,0.9482405203820664,0.9623372740468557
Josan,0.7144723276903787,0.9882931354829247,0.9972076894826858,0.9411378832580698,0.9824384702142616,0.9666445057549423,0.9705245739566686,0.9859253447405485,0.9779306956256124,0.9850713571021369,0.9634960321502414,0.9764800517746517,0.9907137975360856,0.9468403953496909,0.9533314643625533,0.9999999999999998,0.9778077987055988,0.9574427583393496,0.9603252030162736,0.932721328159695,0.9760493768461214,0.968328608189324,0.9891396802958065,0.9991276761942903,0.9825487390073849,0.9961308613133371,0.9887705900012388,0.7660111040749349,0.7181135021617719,0.9654852514251868,0.8966242777599579,0.8910828223570532,0.994956986588597,0.9972612620874233
Lautaro Blanco,0.6745721052604502,0.9635129389943816,0.9691589577693948,0.9456608904405737,0.9285337458166337,0.9105248664710366,0.9897315053839816,0.9423229851303464,0.9656011945199617,0.9783526033940015,0.9057855926520946,0.9189420903330505,0.961024617628679,0.8903073087648083,0.9601438422534073,0.9778077987055988,1.0,0.9009126350635553,0.955537326153111,0.8782989565518299,0.9770062819524118,0.9745169902508403,0.9896118561259857,0.9846820599492867,0.9907118410565767,0.9898948474278725,0.9632731845016212,0.7238457775981225,0.6764114771729263,0.9083269946880916,0.9106484949454082,0.9374585024456807,0.9659187330672228,0.9728061994186091
Gonzalo Verdú,0.8403027529525388,0.9269494626815244,0.9714620641951369,0.8333775176566346,0.9694694540926765,0.9987018020467463,0.8713826346590247,0.9862699741324233,0.9054686943458136,0.9045969744835173,0.9993483767339009,0.9893186601062866,0.9371955030297949,0.9976489439583982,0.8609676188023271,0.9574427583393496,0.9009126350635553,1.0,0.8652256318883929,0.9942983192019471,0.8765039084514523,0.867366544985407,0.9380972897244875,0.9536061749078524,0.892835933562125,0.9454013494727046,0.925312159829744,0.8823437929946836,0.8586781999522853,0.9654754764914485,0.7526062560046665,0.7417488471162583,0.9738384921003238,0.9512428693645794
Ezequiel Ponce,0.5711387608772802,0.9823447639812642,0.9533261150254522,0.9949652704564015,0.9431471385910326,0.88450939269761,0.973623981940255,0.9297692697278646,0.9945856578080498,0.990538093572906,0.8759733284592185,0.914823810565626,0.9801965764218351,0.8400486671695581,0.9935832914102674,0.9603252030162736,0.955537326153111,0.8652256318883929,1.0000000000000002,0.8176568452783446,0.9880763707373138,0.9956060096067486,0.9612607395192265,0.9613407184890123,0.9792096138000089,0.9564609229528079,0.9850594832279596,0.618817959716386,0.5748156352330461,0.9257096483199346,0.9643021254527974,0.931720384462691,0.9525901200343836,0.9713816529075509
Diego González,0.8748853469968435,0.8875434780211631,0.9481159347151303,0.7857205976954771,0.9388766395678279,0.9879466976955382,0.8410415174697199,0.9656621391159269,0.8640442994626554,0.8648868549792795,0.9906098365260377,0.9688832112801903,0.8999569851181732,0.9983616349538219,0.8195037804122588,0.932721328159695,0.8782989565518299,0.9942983192019471,0.8176568452783446,0.9999999999999998,0.8371896839419305,0.8255585965600821,0.9181608751002327,0.9300750685197445,0.86124036482857,0.9237841448251465,0.886442316287069,0.9139371978727017,0.8984836528669417,0.9334768108850611,0.6999092353184146,0.7044427851523463,0.9515554244741309,0.9216837102533968
Álex Collado,0.602337805415944,0.9832272073026553,0.9634067758926754,0.9823488549612763,0.9428231455621465,0.8932760365720813,0.9923645452851458,0.9341047098521745,0.9851385450889588,0.9929436642018816,0.88682702011027,0.9174215193550628,0.9796417957550952,0.8592930513088081,0.9817799140217419,0.9760493768461214,0.9770062819524118,0.8765039084514523,0.9880763707373138,0.8371896839419305,1.0,0.9963179535750903,0.9762641046676539,0.977774115885778,0.9962189206446795,0.9772774439250776,0.9860042008282958,0.6525832296631137,0.589534656263966,0.9172901945034394,0.9634561865196138,0.95258054026269,0.9612805514294966,0.9809664241648017
Roger Martí,0.5897570153994239,0.9802207831258439,0.9578037601333829,0.9923874253729026,0.9364699363582026,0.8847736524018156,0.9903057006216412,0.9288480709097559,0.9907176206143945,0.992839227571272,0.877133151882724,0.9104935970068428,0.977389083310571,0.846579940396683,0.9929595414137442,0.968328608189324,0.9745169902508403,0.867366544985407,0.9956060096067486,0.8255585965600821,0.9963179535750903,1.0,0.9743005300241779,0.9711989153296731,0.9923840114449193,0.9703627653754625,0.9836116625794457,0.6379817618399781,0.5876116117721579,0.9137833936086226,0.9680080834376081,0.9540150023088302,0.9565247224550726,0.9754301793688004
Carmona,0.728451494393893,0.9717106197879353,0.985362268401327,0.952754646105527,0.9540832343669059,0.9453850277529718,0.9842065947042924,0.9671174142508092,0.9748208355956279,0.9784387810915752,0.9418360456281939,0.9509772038980675,0.9740015046707102,0.9291792518358779,0.9689601108786784,0.9891396802958065,0.9896118561259857,0.9380972897244875,0.9612607395192265,0.9181608751002327,0.9762641046676539,0.9743005300241779,0.9999999999999997,0.9934110643927094,0.9885775819549125,0.9937910318751028,0.9743495963467926,0.7735062389397394,0.7408485908477814,0.9322932009587706,0.9060945190257509,0.9149275665250745,0.9862476135239014,0.9865257870998256
Pol Lirola,0.7201928764424022,0.9863963297692485,0.9961809767171765,0.9438101396654408,0.9765070571173934,0.9624318544574482,0.9760448028100521,0.9828075359224225,0.9782708832184476,0.9859389350679278,0.9590277681659277,0.9709629459229568,0.9878661458789288,0.9433666485808764,0.9572380752558284,0.9991276761942903,0.9846820599492867,0.9536061749078524,0.9613407184890123,0.9300750685197445,0.977774115885778,0.9711989153296731,0.9934110643927094,1.0000000000000002,0.98614775819317,0.9982515565874371,0.9864981758215132,0.7702863858367659,0.7231124361662616,0.959579180345979,0.898734090989151,0.8987187719983909,0.9944486671367716,0.9963218183146098
Nicolás Ezequiel Fernández,0.6391238562748074,0.9787850022076306,0.9708873585260193,0.972958750468874,0.9414519416658516,0.9061908719455384,0.9974254802049076,0.9422960629769421,0.9813525224683447,0.9905992846489888,0.9008259774136441,0.9233723522681379,0.9764736554955133,0.8793293614514526,0.9786124320264804,0.9825487390073849,0.9907118410565767,0.892835933562125,0.9792096138000089,0.86124036482857,0.9962189206446795,0.9923840114449193,0.9885775819549125,0.98614775819317,0.9999999999999999,0.9878491755050708,0.9812602287738491,0.6890586893894601,0.6338555679374364,0.9158479449554777,0.9472902852180152,0.9528752909040834,0.9687633706422429,0.9830719219371419
Johan Mojica,0.7245266519276465,0.9795753983727415,0.9916797543434134,0.9395033272229474,0.9655251283009619,0.9534934055811689,0.9808771320542684,0.9743385903670319,0.9718386444333619,0.9827306978271874,0.9500437892951472,0.960220360320373,0.9806860967894839,0.9364123893558232,0.9538698769809155,0.9961308613133371,0.9898948474278725,0.9454013494727046,0.9564609229528079,0.9237841448251465,0.9772774439250776,0.9703627653754625,0.9937910318751028,0.9982515565874371,0.9878491755050708,1.0000000000000002,0.9803422796619067,0.7737662241121921,0.7187513430128183,0.9464765018333985,0.8990630626534115,0.912173544803085,0.9898070930337577,0.992652262892305
Domingos Quina,0.642780472370901,0.998297699772573,0.985770105121607,0.9697531885141945,0.9826509001481518,0.9411322718779405,0.9686291970579467,0.9725023428673873,0.9937216430507924,0.9950947675094147,0.9350989283525818,0.9639419172217206,0.9988757329071946,0.905867404120633,0.9727433672806576,0.9887705900012388,0.9632731845016212,0.925312159829744,0.9850594832279596,0.886442316287069,0.9860042008282958,0.9836116625794457,0.9743495963467926,0.9864981758215132,0.9812602287738491,0.9803422796619067,0.9999999999999998,0.6940022672421116,0.6462758663976266,0.9672177796203821,0.9364831530221054,0.8977783699171336,0.9832853902966504,0.9939205424547464
Axel Werner,0.9953410678285969,0.6972305230729924,0.791951017549377,0.5875817607004039,0.7653365126010238,0.8627478714193313,0.6788978246461869,0.8103319109022463,0.6670192358601074,0.6729155131222685,0.8674353087782707,0.8153283107458648,0.7068138678968698,0.9024065857394112,0.6346638595486553,0.7660111040749349,0.7238457775981225,0.8823437929946836,0.618817959716386,0.9139371978727017,0.6525832296631137,0.6379817618399781,0.7735062389397394,0.7702863858367659,0.6890586893894601,0.7737662241121921,0.6940022672421116,1.0,0.9466513635741658,0.763875047846811,0.48952623312942856,0.5446547421052931,0.8087994824422458,0.7614785992035027
Federico Fernández,0.9413442376127539,0.6432763546222403,0.750902040283386,0.5578283056038273,0.7240399246705378,0.8369908931365353,0.6214497387225412,0.7829099986908371,0.636319195340323,0.619982192730807,0.8428226794311979,0.7871935471264239,0.6630285001214347,0.8765059365039582,0.6130709527730152,0.7181135021617719,0.6764114771729263,0.8586781999522853,0.5748156352330461,0.8984836528669417,0.589534656263966,0.5876116117721579,0.7408485908477814,0.7231124361662616,0.6338555679374364,0.7187513430128183,0.6462758663976266,0.9466513635741658,0.9999999999999999,0.722534950172923,0.44630369914433676,0.4558440930818685,0.7661232897629054,0.7043231504806933
Pape Cheikh Diop,0.7155593067049634,0.9733827482681344,0.9776656522435834,0.8915293694170254,0.9944567599692832,0.9765015385506752,0.8899365239435049,0.9882154813829914,0.9536452354826024,0.9509850408486993,0.9721567489114787,0.989921295506325,0.9760790098889713,0.9474459965022417,0.9045661575827016,0.9654852514251868,0.9083269946880916,0.9654754764914485,0.9257096483199346,0.9334768108850611,0.9172901945034394,0.9137833936086226,0.9322932009587706,0.959579180345979,0.9158479449554777,0.9464765018333985,0.9672177796203821,0.763875047846811,0.722534950172923,1.0,0.8235321051453478,0.7736203498555786,0.9759159762833102,0.9697251258001991
Alejandro Alfaro,0.44362918534935963,0.9239656104418581,0.8781455681437706,0.97795837808134,0.8603046260011639,0.7775361581465292,0.9518015145800395,0.8375294142706621,0.943807727003803,0.9435726855400836,0.7674602728709263,0.8180518405517975,0.9206109665468305,0.7263570459832055,0.9624570341271576,0.8966242777599579,0.9106484949454082,0.7526062560046665,0.9643021254527974,0.6999092353184146,0.9634561865196138,0.9680080834376081,0.9060945190257509,0.898734090989151,0.9472902852180152,0.8990630626534115,0.9364831530221054,0.48952623312942856,0.44630369914433676,0.8235321051453478,1.0,0.9428090415820634,0.8756909024717087,0.9092058249322931
Javier Pastore,0.49817134824454984,0.890108582553024,0.8639286662221765,0.9382957979252861,0.8132544466989818,0.7572330765467669,0.9681487012115155,0.8098431166821557,0.9072574051998561,0.9244954812510622,0.7500165470080503,0.7809458678193495,0.8841744300085932,0.7273472022299983,0.9343493926153693,0.8910828223570532,0.9374585024456807,0.7417488471162583,0.931720384462691,0.7044427851523463,0.95258054026269,0.9540150023088302,0.9149275665250745,0.8987187719983909,0.9528752909040834,0.912173544803085,0.8977783699171336,0.5446547421052931,0.4558440930818685,0.7736203498555786,0.9428090415820634,0.9999999999999999,0.8622268167291613,0.8958342146001137
Manu Cocca,0.7638978273610131,0.9834246662102998,0.9988736469710912,0.9320830612094808,0.9878619004346533,0.9811848346162745,0.9553092599070734,0.9937737001820752,0.9737945819075137,0.9756554739487298,0.9778789529977228,0.9870180331832996,0.986918260254001,0.9632961975777383,0.9482405203820664,0.994956986588597,0.9659187330672228,0.9738384921003238,0.9525901200343836,0.9515554244741309,0.9612805514294966,0.9565247224550726,0.9862476135239014,0.9944486671367716,0.9687633706422429,0.9898070930337577,0.9832853902966504,0.8087994824422458,0.7661232897629054,0.9759159762833102,0.8756909024717087,0.8622268167291613,1.0,0.995455420780584
Jesús López,0.7134399854071108,0.993513590926302,0.9957229679070687,0.9528920425469579,0.9852371483509067,0.9621492274259335,0.9714551827493072,0.9836132056641996,0.984461690131468,0.9894664337287807,0.9577803733191071,0.9752013072608932,0.9945967144995717,0.9379993480660371,0.9623372740468557,0.9972612620874233,0.9728061994186091,0.9512428693645794,0.9713816529075509,0.9216837102533968,0.9809664241648017,0.9754301793688004,0.9865257870998256,0.9963218183146098,0.9830719219371419,0.992652262892305,0.9939205424547464,0.7614785992035027,0.7043231504806933,0.9697251258001991,0.9092058249322931,0.8958342146001137,0.995455420780584,0.9999999999999999
