Jogador,Federico Valverde,Antonio Rüdiger,Rodrygo,Jude Bellingham,Dani Carvajal,Toni Kroos,Aurélien Tchouaméni,Vinicius Júnior,Andriy Lunin,Eduardo Camavinga,Ferland Mendy,Nacho,Luka Modrić,Brahim Díaz,Joselu,Fran Garcia,Lucas Vázquez,David Alaba,Kepa Arrizabalaga,Éder Militão,Dani Ceballos,Arda Güler,Thibaut Courtois,Nicolás Paz,Gonzalo García,Mario Martín,Álvaro Rodríguez,Lucas Cañizares,Álvaro Carrillo
Federico Valverde,0.9999999999999998,0.9466445609041989,0.9203978729705371,0.9940574931357531,0.9902913763583563,0.9953978352478602,0.9848388573733837,0.874219116399602,0.673755648700203,0.9956355086507531,0.9925505216138681,0.9440957330885847,0.9988374252079713,0.9610174773270133,0.9587690589460525,0.9883074505705582,0.9866920402552568,0.9552418077106705,0.6776115090808779,0.9328666956387823,0.9986094293884339,0.9827300706025203,0.6684303478921951,0.983093371737715,0.9389340233952772,0.947162244560592,0.27820332761648986,0.9921975620272804,0.9790209056573063
Antonio Rüdiger,0.9466445609041989,0.9999999999999999,0.7953984447027294,0.9146449210033593,0.9641901535476062,0.964503152545513,0.9860227786069888,0.7360266101262734,0.8350704484770982,0.9701063217823441,0.9723517438558487,0.9994787792752264,0.9393593174794213,0.8483059959586202,0.8550029499471643,0.9574465398587503,0.9492402823397297,0.9991552886716042,0.8372926042357719,0.9979308071941464,0.9431528751381015,0.9044076435081574,0.83024667844071,0.8846337859241635,0.8554590153845966,0.9597249908888835,0.46863269200768676,0.9711079996930998,0.9836070223673395
Rodrygo,0.9203978729705371,0.7953984447027294,1.0,0.9555878899353777,0.92489670041031,0.881597733374102,0.8527460253713302,0.9902894686147377,0.5624862273330828,0.8912111520341657,0.9016220561751889,0.7995190812611396,0.9323920802957801,0.9910024888772111,0.9729955433443387,0.9321227691696978,0.9441587134459325,0.8179854514314493,0.5663971239179033,0.7899101709867778,0.9336207588461928,0.9741506287905881,0.5577690340920074,0.9492423304300477,0.9610258901236924,0.8175872196930654,0.1252070723720931,0.9131055279049672,0.8848517052931147
Jude Bellingham,0.9940574931357531,0.9146449210033593,0.9555878899353777,1.0000000000000002,0.984639650992052,0.9795450951695299,0.9623896231510646,0.9200351163824185,0.636170704647916,0.981982133877396,0.9802988965298174,0.9130413712382469,0.9959183743661258,0.9847703860680596,0.9808685693890454,0.9849325731710877,0.9870645990048924,0.9270435425535781,0.6402033989705844,0.9013246557632592,0.9956613305026706,0.9948476868788979,0.6307694442711792,0.9922871135124821,0.9611706162538886,0.9271923093142875,0.23738291103032827,0.9831380086314071,0.9647287127917373
Dani Carvajal,0.9902913763583563,0.9641901535476062,0.92489670041031,0.984639650992052,1.0,0.9854447901754378,0.984041338419001,0.8824098707684012,0.7466119755752857,0.9915026530617496,0.9962488862471826,0.9648906009931052,0.9911956373700891,0.9569893626540336,0.9514250702772652,0.9993438175038283,0.9981808732512493,0.9734438168624981,0.7500338451366755,0.9588475557468783,0.9935329270546673,0.9843304818206688,0.7411204680141456,0.9671333386703231,0.9479985998184886,0.9510596682161822,0.32693655560061846,0.9988888129189968,0.9931879219926831
Toni Kroos,0.9953978352478602,0.964503152545513,0.881597733374102,0.9795450951695299,0.9854447901754378,1.0,0.9944424848626393,0.8260256673150235,0.6917881222005805,0.9976227918262187,0.9941232574222739,0.9612620652587713,0.9920897304568131,0.9310512863557447,0.9304399479194918,0.9817423754790588,0.9769311225156098,0.9697889395118839,0.6954791045936136,0.9500424280781764,0.9918850616099906,0.9625917864538115,0.6863945195312805,0.9644136729227664,0.9095055327142766,0.9524898933785182,0.2964646468313701,0.9899017371262306,0.9802058345269888
Aurélien Tchouaméni,0.9848388573733837,0.9860227786069888,0.8527460253713302,0.9623896231510646,0.984041338419001,0.9944424848626393,1.0000000000000002,0.7964744022717216,0.7516659690737604,0.9957482542426804,0.9924479276898921,0.9832445181556375,0.9789381157556053,0.9055721420754445,0.9104953782029924,0.9785861200857858,0.9723829028349312,0.9885232543697362,0.7547854945587605,0.9758020754952015,0.9802461477933068,0.9468484524160402,0.7465104430013203,0.9428424689689939,0.89757554000581,0.9679206847998958,0.3810106258572624,0.9901072399374214,0.9898310509430415
Vinicius Júnior,0.874219116399602,0.7360266101262734,0.9902894686147377,0.9200351163824185,0.8824098707684012,0.8260256673150235,0.7964744022717216,0.9999999999999996,0.5178550170586151,0.8413827004769359,0.8491700268930378,0.7398341386869548,0.8876153587910456,0.9722501376406704,0.9624266719358697,0.8913567253699819,0.9064656645446586,0.7606594487237694,0.5219523967026729,0.7325550234467464,0.8887235626286075,0.946226363407427,0.5123247240689782,0.9221806674492667,0.960712437275284,0.7810155873457421,0.13628654713598282,0.8675327645651827,0.8413800086870887
Andriy Lunin,0.673755648700203,0.8350704484770982,0.5624862273330828,0.636170704647916,0.7466119755752857,0.6917881222005805,0.7516659690737604,0.5178550170586151,0.9999999999999999,0.7135574168089801,0.7352927465241302,0.8446339063807051,0.6665923340300899,0.587327468229955,0.5875394857188071,0.7369064556052676,0.7317458250818679,0.8311990302614872,0.999916302901313,0.8635584363228446,0.677205114251267,0.6581363400256457,0.9997676059253797,0.5865117580247801,0.6198807742013368,0.7479399310855197,0.6451627686359037,0.7537249153399206,0.799305113513841
Eduardo Camavinga,0.9956355086507531,0.9701063217823441,0.8912111520341657,0.981982133877396,0.9915026530617496,0.9976227918262187,0.9957482542426804,0.8413827004769359,0.7135574168089801,1.0000000000000002,0.9962034741202136,0.9674905742907112,0.9919189072700734,0.9378464151864454,0.9390960832209888,0.9881749635102506,0.9843240029279355,0.9758139863249933,0.7168638008559564,0.9586479962945127,0.9928693572482115,0.9693908120093273,0.7082853478273322,0.9673794095718422,0.9258818112073428,0.9656407665749044,0.3427431919132186,0.9949441330642798,0.9890101466900004
Ferland Mendy,0.9925505216138681,0.9723517438558487,0.9016220561751889,0.9802988965298174,0.9962488862471826,0.9941232574222739,0.9924479276898921,0.8491700268930378,0.7352927465241302,0.9962034741202136,0.9999999999999998,0.9722414572102158,0.9916462871935136,0.9408235561135672,0.9338786763557823,0.9943124772598985,0.9909817532136221,0.9795231036953342,0.7384768562850997,0.9641622189335375,0.9936716304054005,0.9728061313890889,0.7302191626780161,0.9598272206537232,0.9233121901499206,0.951281803965183,0.31468595885210787,0.9975741218904628,0.9902382495305349
Nacho,0.9440957330885847,0.9994787792752264,0.7995190812611396,0.9130413712382469,0.9648906009931052,0.9612620652587713,0.9832445181556375,0.7398341386869548,0.8446339063807051,0.9674905742907112,0.9722414572102158,1.0,0.9376211058892007,0.8492471093250676,0.8528950868268367,0.9586211426984612,0.9508928445342819,0.9992558524167566,0.8466927781306111,0.9990139922787463,0.9420081002307022,0.9051474876238321,0.8400697846557029,0.8807564480680531,0.8545066445432035,0.9550734630980601,0.4652318070334145,0.9710619802106065,0.9834076160505082
Luka Modrić,0.9988374252079713,0.9393593174794213,0.9323920802957801,0.9959183743661258,0.9911956373700891,0.9920897304568131,0.9789381157556053,0.8876153587910456,0.6665923340300899,0.9919189072700734,0.9916462871935136,0.9376211058892007,1.0000000000000002,0.9685871859554542,0.9624513829555476,0.9906288546945784,0.9897068287312221,0.9495149645845846,0.6706924803073449,0.9262007141130549,0.9996175974179786,0.9876610011683414,0.6609208716360515,0.9849851029556254,0.9440699946134423,0.9362806302403365,0.24616106161752732,0.9912640140555338,0.9759380940812746
Brahim Díaz,0.9610174773270133,0.8483059959586202,0.9910024888772111,0.9847703860680596,0.9569893626540336,0.9310512863557447,0.9055721420754445,0.9722501376406704,0.587327468229955,0.9378464151864454,0.9408235561135672,0.8492471093250676,0.9685871859554542,0.9999999999999999,0.9884902426840234,0.961540382568141,0.9692571321510567,0.8669623810899688,0.5915200073911884,0.838420677592887,0.9686599238223823,0.9928844996631033,0.5820234655108966,0.9820230841744129,0.9742648966260071,0.8746599989127025,0.17559285202077368,0.9495109773870515,0.9251432354604117
Joselu,0.9587690589460525,0.8550029499471643,0.9729955433443387,0.9808685693890454,0.9514250702772652,0.9304399479194918,0.9104953782029924,0.9624266719358697,0.5875394857188071,0.9390960832209888,0.9338786763557823,0.8528950868268367,0.9624513829555476,0.9884902426840234,0.9999999999999999,0.9528746186643962,0.9610157400303067,0.8704386585084214,0.5919982297030417,0.8427928304401323,0.9614478531779692,0.9842735217167107,0.5812819402402528,0.979918902201738,0.9826891651225249,0.8941068483830642,0.24084818546114511,0.9469257469989069,0.9285146758953328
Fran Garcia,0.9883074505705582,0.9574465398587503,0.9321227691696978,0.9849325731710877,0.9993438175038283,0.9817423754790588,0.9785861200857858,0.8913567253699819,0.7369064556052676,0.9881749635102506,0.9943124772598985,0.9586211426984612,0.9906288546945784,0.961540382568141,0.9528746186643962,0.9999999999999998,0.9990841989010911,0.9678374372055115,0.7403857845539378,0.9526006232501877,0.9930514842558456,0.9868917905295906,0.731130248347645,0.9687702041828992,0.9527174199937073,0.9453541990863388,0.3111158461097704,0.9967302501596318,0.9897845211759155
Lucas Vázquez,0.9866920402552568,0.9492402823397297,0.9441587134459325,0.9870645990048924,0.9981808732512493,0.9769311225156098,0.9723829028349312,0.9064656645446586,0.7317458250818679,0.9843240029279355,0.9909817532136221,0.9508928445342819,0.9897068287312221,0.9692571321510567,0.9610157400303067,0.9990841989010911,1.0000000000000002,0.9606978475512782,0.7351599702688295,0.9448356743136237,0.9921448027625102,0.9910642444616793,0.7262615441075141,0.9697915159004601,0.9582058493142449,0.9389489022241346,0.30332933736338097,0.9949878525370357,0.9866643189331479
David Alaba,0.9552418077106705,0.9991552886716042,0.8179854514314493,0.9270435425535781,0.9734438168624981,0.9697889395118839,0.9885232543697362,0.7606594487237694,0.8311990302614872,0.9758139863249933,0.9795231036953342,0.9992558524167566,0.9495149645845846,0.8669623810899688,0.8704386585084214,0.9678374372055115,0.9606978475512782,0.9999999999999999,0.8335381804848981,0.9974250362962925,0.9533356435815514,0.9194080746197136,0.8263107715844196,0.8978933333688875,0.8714702846579584,0.9605786524319094,0.45021167153896746,0.9788970669738487,0.9890843287748984
Kepa Arrizabalaga,0.6776115090808779,0.8372926042357719,0.5663971239179033,0.6402033989705844,0.7500338451366755,0.6954791045936136,0.7547854945587605,0.5219523967026729,0.999916302901313,0.7168638008559564,0.7384768562850997,0.8466927781306111,0.6706924803073449,0.5915200073911884,0.5919982297030417,0.7403857845539378,0.7351599702688295,0.8335381804848981,1.0,0.8654247095576311,0.6810656372557682,0.6620553080629205,0.9994870704436286,0.5912424611881417,0.6242338740190458,0.750239786104943,0.6403254706734048,0.7570365567474259,0.8023332079000118
Éder Militão,0.9328666956387823,0.9979308071941464,0.7899101709867778,0.9013246557632592,0.9588475557468783,0.9500424280781764,0.9758020754952015,0.7325550234467464,0.8635584363228446,0.9586479962945127,0.9641622189335375,0.9990139922787463,0.9262007141130549,0.838420677592887,0.8427928304401323,0.9526006232501877,0.9448356743136237,0.9974250362962925,0.8654247095576311,1.0,0.9313048820056536,0.896281886169401,0.8590284708153049,0.8686134117410446,0.8502049781334328,0.9531294147843866,0.493701169808643,0.9646567572896372,0.9806148209328612
Dani Ceballos,0.9986094293884339,0.9431528751381015,0.9336207588461928,0.9956613305026706,0.9935329270546673,0.9918850616099906,0.9802461477933068,0.8887235626286075,0.677205114251267,0.9928693572482115,0.9936716304054005,0.9420081002307022,0.9996175974179786,0.9686599238223823,0.9614478531779692,0.9930514842558456,0.9921448027625102,0.9533356435815514,0.6810656372557682,0.9313048820056536,0.9999999999999997,0.988546992856352,0.6717635827627186,0.9834102526987265,0.9454276037664224,0.9392856560788161,0.2583593688430257,0.9932719120971959,0.9788165677567967
Arda Güler,0.9827300706025203,0.9044076435081574,0.9741506287905881,0.9948476868788979,0.9843304818206688,0.9625917864538115,0.9468484524160402,0.946226363407427,0.6581363400256457,0.9693908120093273,0.9728061313890889,0.9051474876238321,0.9876610011683414,0.9928844996631033,0.9842735217167107,0.9868917905295906,0.9910642444616793,0.9194080746197136,0.6620553080629205,0.896281886169401,0.988546992856352,1.0000000000000002,0.6525996870629118,0.9864768414014096,0.9747673059072952,0.9159459294095916,0.24282127758928784,0.9793685862236585,0.9627222651674917
Thibaut Courtois,0.6684303478921951,0.83024667844071,0.5577690340920074,0.6307694442711792,0.7411204680141456,0.6863945195312805,0.7465104430013203,0.5123247240689782,0.9997676059253797,0.7082853478273322,0.7302191626780161,0.8400697846557029,0.6609208716360515,0.5820234655108966,0.5812819402402528,0.731130248347645,0.7262615441075141,0.8263107715844196,0.9994870704436286,0.8590284708153049,0.6717635827627186,0.6525996870629118,1.0,0.5799383311646265,0.6119433094248048,0.7423254435951006,0.6467936411073227,0.748595036159787,0.7940045325890002
Nicolás Paz,0.983093371737715,0.8846337859241635,0.9492423304300477,0.9922871135124821,0.9671333386703231,0.9644136729227664,0.9428424689689939,0.9221806674492667,0.5865117580247801,0.9673794095718422,0.9598272206537232,0.8807564480680531,0.9849851029556254,0.9820230841744129,0.979918902201738,0.9687702041828992,0.9697915159004601,0.8978933333688875,0.5912424611881417,0.8686134117410446,0.9834102526987265,0.9864768414014096,0.5799383311646265,1.0,0.9692413479070218,0.9197025099037516,0.23221792583053522,0.9644886388998366,0.9456947972785029
Gonzalo García,0.9389340233952772,0.8554590153845966,0.9610258901236924,0.9611706162538886,0.9479985998184886,0.9095055327142766,0.89757554000581,0.960712437275284,0.6198807742013368,0.9258818112073428,0.9233121901499206,0.8545066445432035,0.9440699946134423,0.9742648966260071,0.9826891651225249,0.9527174199937073,0.9582058493142449,0.8714702846579584,0.6242338740190458,0.8502049781334328,0.9454276037664224,0.9747673059072952,0.6119433094248048,0.9692413479070218,1.0,0.9032770714182656,0.30999370331685144,0.9387216846152383,0.9300278648117493
Mario Martín,0.947162244560592,0.9597249908888835,0.8175872196930654,0.9271923093142875,0.9510596682161822,0.9524898933785182,0.9679206847998958,0.7810155873457421,0.7479399310855197,0.9656407665749044,0.951281803965183,0.9550734630980601,0.9362806302403365,0.8746599989127025,0.8941068483830642,0.9453541990863388,0.9389489022241346,0.9605786524319094,0.750239786104943,0.9531294147843866,0.9392856560788161,0.9159459294095916,0.7423254435951006,0.9197025099037516,0.9032770714182656,0.9999999999999999,0.5276118204976404,0.957197344074446,0.9695812419375938
Álvaro Rodríguez,0.27820332761648986,0.46863269200768676,0.1252070723720931,0.23738291103032827,0.32693655560061846,0.2964646468313701,0.3810106258572624,0.13628654713598282,0.6451627686359037,0.3427431919132186,0.31468595885210787,0.4652318070334145,0.24616106161752732,0.17559285202077368,0.24084818546114511,0.3111158461097704,0.30332933736338097,0.45021167153896746,0.6403254706734048,0.493701169808643,0.2583593688430257,0.24282127758928784,0.6467936411073227,0.23221792583053522,0.30999370331685144,0.5276118204976404,1.0000000000000002,0.344230445688002,0.42137934938325783
Lucas Cañizares,0.9921975620272804,0.9711079996930998,0.9131055279049672,0.9831380086314071,0.9988888129189968,0.9899017371262306,0.9901072399374214,0.8675327645651827,0.7537249153399206,0.9949441330642798,0.9975741218904628,0.9710619802106065,0.9912640140555338,0.9495109773870515,0.9469257469989069,0.9967302501596318,0.9949878525370357,0.9788970669738487,0.7570365567474259,0.9646567572896372,0.9932719120971959,0.9793685862236585,0.748595036159787,0.9644886388998366,0.9387216846152383,0.957197344074446,0.344230445688002,1.0000000000000002,0.9954217042299598
Álvaro Carrillo,0.9790209056573063,0.9836070223673395,0.8848517052931147,0.9647287127917373,0.9931879219926831,0.9802058345269888,0.9898310509430415,0.8413800086870887,0.799305113513841,0.9890101466900004,0.9902382495305349,0.9834076160505082,0.9759380940812746,0.9251432354604117,0.9285146758953328,0.9897845211759155,0.9866643189331479,0.9890843287748984,0.8023332079000118,0.9806148209328612,0.9788165677567967,0.9627222651674917,0.7940045325890002,0.9456947972785029,0.9300278648117493,0.9695812419375938,0.42137934938325783,0.9954217042299598,0.9999999999999998
